,sign,category,text
927,leo,general,As Venus moves into the wealth area of your chart today you could get a welcome boost to your income. But if you spend your new-found dollars on the kind of costly status symbols you cannot really afford you won’t be in the money for long.
928,virgo,general,Venus in the partnership area of your chart will help smooth over any difficulties you have been having with family and friends. On the work front too you will find it easier to overlook other people’s stupid behaviour for the sake of general harmony.
929,libra,general,If there is something you would prefer the world not to know about your endeavours today try steering the conversation in other directions. Be subtle about it though. If you change the subject abruptly you could raise suspicions among your rivals.
930,scorpio,general,"The more you choose to work with other people now the more you will gain, so banish those thoughts of going it alone and resolve to be more of a team player. Whether you like your partners or not is neither here nor there – it’s only results that matter."
931,sagittarius,general,The more of an effort you make to get along with family and friends the more easily you will get along too with strangers you meet while out and about. It’s all about mood and if your outlook on life is positive then good things will naturally occur.
932,capricorn,general,You have been revealing too much about yourself of late and need to be more guarded in what you say. The less others know about your ambitions the easier it will be to manoeuvre them in directions that benefit you. It’s okay to be a bit devious.
933,aquarius,general,"The most important thing as the new week begins is that you practise what you preach, because if you show even a hint of hypocrisy your rivals will come down on you hard. Double standards are for other people, not for someone as honest as you."
934,pisces,general,What occurs today will make it clear that the universe is very much on your side. It will certainly be evident that you no longer have to struggle to get the most from life – what you need will be handed to you with no questions asked.
935,pisces,birthday,"No matter how chaotic the world gets over the coming year you will remain an oasis of calm in the gathering storm. Deep down you know that in the greater scheme of things everything will work out as it is supposed to, so why waste precious time worrying?"
936,aries,general,Mercury in your sign makes it so much easier to explain yourself to other people and you must take advantage of that fact to smooth out any differences you may have with loved ones at home and colleagues at work. Choose your words carefully.
937,taurus,general,If you think a friend or family member requires assistance then speak up and let them know you are there if they need you. But don’t just take it upon yourself to start making changes. It is essential that you get their permission first.
938,gemini,general,You seem to be more confident now about the direction that your career is moving in and if you stay focused on your No. 1 goal then your confidence will grow even more over the next few days. Don’t let anyone or anything distract you.
939,cancer,general,"Something you hear while out and about may cause some anxiety but will have little effect on you personally, so stay calm and take what occurs in your stride. Looking back from the end of the week you may even realize that it worked in your favour."
940,leo,general,"Someone you work with is giving you such a hard time that you may be tempted to end your association with them. The fact is though you need them more than they need you, so gloss over your differences and make light of their negative attitude."
941,virgo,general,"Everyone you know is agreed on a certain course of action, so why do you still think it’s the wrong way to go? Whatever the reason you must trust your instincts. What is the right thing for other people won’t necessarily be the right thing for you."
942,libra,general,"The message of the stars is that you must do only what you enjoy today. Some people will, of course, criticize you for being irresponsible but you can and you must ignore them. They’re the sort of people who are sure to complain whatever you do."
943,scorpio,general,"An opportunity that comes your way over the next 24 hours will be too good to ignore, so drop what you are doing and seize it with both hands. And remember, so long as you have faith in your own abilities there is nothing you cannot accomplish."
944,sagittarius,general,"There were times of late when it seemed as if your life was being moved in directions you did not want it to go, but that will change. Mercury in the most dynamic area of your chart will empower you to focus your thinking and seize back control."
945,capricorn,general,"The planets indicate that you will learn something to your advantage today, something that could put some serious cash in your pocket if you act quickly. Social activities may be fun but this is one of those occasions when making money is more important."
946,aquarius,general,You are determined to get your share of the good things in life and what happens today will encourage you to believe that the universe is trying to make it happen for you. You must meet it halfway though – focus your mind exclusively on thoughts of success.
947,pisces,general,"Cosmic activity in your sign is still overwhelmingly positive, so start something new and exciting and make sure you give it 100 per cent. The next few days will see you on a personal and professional high and everything you do will bring rewards and applause."
948,pisces,birthday,Your potential is unlimited and whatever you put your mind to this year will work out for the best. But don’t try to control the creative process at every level – focus on the bigger picture and let friends and family members take care of the small stuff.
949,aries,general,According to the planets you have overlooked something important and need to go back and find out what it is. You could just push ahead regardless but that may lead to some serious financial losses later in the year. Fix it now.
950,taurus,general,"Cosmic activity in the friendship and career areas of your chart will encourage you to believe that your hopes and dreams will come true. If you believe that with all your heart then it may happen in the next few weeks, or even days."
951,gemini,general,You may not agree with what someone in a position of authority tells you today but if you are smart you will act as if you do. Be tactful. Don’t let them become aware that you are not in the least bit impressed by their powers of critical thinking.
952,cancer,general,"Someone you meet could play a crucial role in your mental and emotional development, so be open to people who approach you out of the blue and don’t just assume they want something at your expense. On the contrary, you are the one who will profit."
953,leo,general,"You may be tempted to back up your latest big idea with a large injection of cash but don’t be hasty. If it’s as good as you think it is the universe will guide you in the right direction, and you won’t need to pay a dime for it."
954,virgo,general,Why do you crave approval from someone you don’t actually respect that much? Whatever the reason may be you need to get over it quickly because it is holding you back from pursuing your dreams. Cut the subconscious knot and move on.
955,libra,general,"If you go out of your way to be helpful to other people today, even to the extent of having to postpone your own plans, the universe will pay you back big time later in the month. In the greater scheme of things no good deed ever goes unrewarded."
956,scorpio,general,It may be worrying that people you think of as rivals are going out of their way to do things for you but don’t let your suspicions get the better of you. Maybe they really do want to see you succeed after all. Stranger things have happened!
957,sagittarius,general,"Your powers of persuasion are at a peak now and if you are smart you will use those powers to guide friends and family members around to your way of thinking. On this occasion you really can claim to know what is best for them, so act accordingly."
958,capricorn,general,Because social activities seem to be taking up a lot of your time at the moment you may worry that you should be focusing more on serious matters such as your finances and your career. You’re wrong. Relaxing and having fun is just as important.
959,aquarius,general,"Take a long look around you today, at the people you interact with and at the events taking place in the world, and recognize just how lucky you have been. Then take that recognition and find ways to help other people be lucky too."
960,pisces,general,So many things are coming to a head now that you fear you won’t be able to keep track of it all. Stop worrying. Deep down you know what needs to be done and when the time comes to act you will do so with speed and self-assurance.
961,pisces,birthday,"Looking back over the past 12 months you would no doubt admit that you should have been more adventurous, but steer clear of regret. What you learnt about life then you can apply with energy and enthusiasm this year. No experience is ever wasted."
962,aries,general,You could find you are a touch more emotional than usual today but now you are aware of that fact you can take steps not to overreact. If you remind yourself often that not everyone sees the world the same way as you then you should be okay.
963,taurus,general,It may be the case that someone has let you down but don’t cut them out of your life completely. The planets suggest there was no malicious intent involved and with a bit of good will on both sides you can get back on friendly terms again.
964,gemini,general,"It is of the utmost importance that you take nothing for granted over the next 24 hours. As Mercury, your ruler, is currently at odds with Mars there could be serious consequences if you believe what others tell you without checking the facts for yourself."
965,cancer,general,Something you have been working on for a considerable period of time has reached the stage where you must decide whether to press ahead with it or to abandon it and focus your energy elsewhere. You’ve come this far so you might as well go all the way.
966,leo,general,"News you receive from an unexpected source may not be to your liking but you will know instantly that it is true and has to be dealt with. The fact that it does not affect you directly is immaterial, because it will affect the people you love."
967,virgo,general,"Something you hear on the grapevine today will grab your attention and you will seek to know more. Your sharp mind will know in a flash that there could be a profitable angle to it, so take the information and use it for your own ends."
968,libra,general,A friend seems overly emotional at the moment and you must make it your business to find out what has upset them so much. Your ability to see all sides of a story will enable you to make sense of the situation and offer some practical advice.
969,scorpio,general,You may be tempted to push both your mind and your body to extremes today but that must be resisted. Your powers of recovery may be amazing but even a Scorpio needs to take time out once in a while to recover from their exertions.
970,sagittarius,general,If you act on your hunches today you could avoid the type of situation that sucks you in and doesn’t let you go again. The so-called experts may say you are missing out on the chance of a lifetime but do they mean this lifetime or the next?
971,capricorn,general,"Mercury in the family area of your chart links with Mars in the financial area of your chart, so you will have to make a decision that either costs you money or annoys a family member. If you don’t make that decision you could end up doing both!"
972,aquarius,general,"Travel plans and social activities will go well for you today but you could get a bit tetchy when dealing with people whose minds and bodies don’t move as fast as your own. Accept that it takes all sorts to make a world and, above all, stay calm."
973,pisces,general,You are in two minds about a project that could make you some serious money but which could also cost you a pretty penny if it goes wrong. Do you have to make a decision right now? Put it off until the early part of next week.
974,pisces,birthday,Make a conscious decision on your birthday to stay calm in all situations and to always look for the good in people even when they act in bad ways. By choosing a non-judgmental approach you will clear the path for wonderful things to come into your life.
975,aries,general,Go out of your way to help someone who has lost their way and don’t count the cost even when you know your resources are being stretched. The universe always looks kindly on those who give more thought to other people’s needs than to their own.
976,taurus,general,"If you put a friend’s needs first today they will return the compliment later on when it is you who requires assistance. Group activities are under excellent stars at the moment, so the more you do with other people the more you will benefit as well."
977,gemini,general,It is sometimes said that who you know is more important than what you know and you will be reminded of that today when a senior colleague steps in to back you up on the work front. You can never have too many friends in high places.
978,cancer,general,You may be finding it hard to stay in one place for any length of time but why would you want to when there is a world out there waiting to be explored? Drop what you are working on and follow your heart wherever it may lead you.
979,leo,general,Someone whose outlook on life is very different to your own seems to be exerting a strange fascination over you. You may be spellbound by their captivating personality but don’t lose contact with reality – and certainly don’t strive to be like them.
980,virgo,general,Now that Venus is moving through the partnership area of your chart you can expect one-to-one relationships of all kinds to go well. But they will go even better if you stop trying to micro-manage their lives. Give them some breathing space.
981,libra,general,"You have pushed yourself hard in recent weeks and need to take things easy for a while. With Venus, your ruler, moving through the wellbeing area of your chart this would be a good time to start a new health kick – but it must be relaxing!"
982,scorpio,general,Cosmic activity in the most loving area of your chart will bring the romantic side of your nature to the fore. If you are single then a new affair will be a lot of fun. If you are partnered-up already your relationship will reach new heights of passion.
983,sagittarius,general,"Don’t waste any more time on a feud that can never be won. Even if you believe you are entirely in the right you will only hurt yourself if you allow it to continue. There is no sense holding a grudge, so forgive and forget and move on."
984,capricorn,general,Someone you meet on your travels will open your mind to possibilities that had not occurred to you before. They could also open your heart to a degree that allows you to see positive things about colleagues and strangers that you were previously unaware of.
985,aquarius,general,If you find yourself tempted to go on a spending spree today it would be a good idea to set yourself a budget and stick to it resolutely. If you go even one cent over the top you could find it impossible to stop until there is nothing left!
986,pisces,general,You seem much happier lately about your place in the world and that’s great but don’t get so self-satisfied that you neglect to take on challenges that can stretch you above and beyond your normal capabilities. Never stop striving. Never stop learning.
987,pisces,birthday,Why be aggressive in your dealings with other people when you can turn on the charm and get everything you desire at the flash of a smile? The year ahead will bring opportunities to make friends with people whose support can take you higher than ever before.
988,aries,general,"Try not to be too sensitive to criticism this weekend because if you get emotional you may end up saying and doing things you later regret. The simple fact is you cannot change what other people think, but you can choose to ignore it."
989,taurus,general,You seem to be on the go from the moment you wake up in the morning to the moment your head hits the pillow at night. Do you need to rush about so much? No you do not. Slow down and give your mind and body time to recover.
990,gemini,general,Your past is about to catch up with you but it need not be a negative experience. You may have done things you now regret but it is part of the learning curve we call life. In the greater scheme of things it could even do you some good.
991,cancer,general,Don’t hide yourself away from the world this weekend – get out there and show you are not afraid to face up to people and situations you find challenging. As one of the zodiac’s cardinal signs you have what it takes to succeed at the highest levels.
992,leo,general,Some of your friends and colleagues seem to be taking sides in behind-the-scenes plots and schemes but you must steer clear of that kind of thing. You have a reputation for being completely open and honest about your opinions – don’t lose it.
993,virgo,general,The message of the stars this weekend is that you must finish what you started before you move on to a new plan or project. If you leave something half done it will nag at you for weeks to come and limit what else you might achieve.
994,libra,general,Focus your energy in a single direction over the next 48 hours rather than try to do everything at once. A sun-Neptune union in the wellbeing area of your chart means you may have underestimated what it will take to get an important task done.
995,scorpio,general,If you get involved in an argument of some kind this weekend you could find that it puts a serious strain on a relationship. For that reason alone you are advised to let a friend or colleague have their say while not saying much in return.
996,sagittarius,general,If a friend or workmate threatens you with dire consequences if you don’t follow their advice to the letter this weekend you must laugh in their face. You have never been the sort to give in to intimidation and you are not about to start now!
997,capricorn,general,It does not matter what others say or do to annoy you this weekend you must not let it bother you. The best way to deal with people who are overly aggressive is to pretend that you find them funny. The joke’s on them if you refuse to react.
998,aquarius,general,"Something that starts out simple this weekend could become very complicated very quickly, so stay alert and be ready to change the way you do things at a moment’s notice. If you cannot be flexible then it will be a lot harder to prosper."
999,pisces,general,"The sun joins forces with your ruling planet Neptune in your own sign this weekend, making this the ideal time to decide what your aims and ambitions are going to be for the rest of the year. Don’t trade your ideals for money or fame."
1000,pisces,birthday,It may seem as if everyone but you is on top of their game over the coming year but that is an illusion. If you acknowledge that you are less than perfect it will give you a huge advantage over those who see failure as something shameful.
1001,aries,general,If you need to heal a rift with a loved one then swallow your pride and be the first to say sorry. If you expect them to apologize first not only will you be disappointed but what amounts to a trivial falling out could develop into something bigger.
1002,taurus,general,It would appear that someone you work or do business with is hoping you will say something stupid today which they can then take advantage of. If you are smart enough to know when to speak and when to keep quiet that is less likely to happen.
1003,gemini,general,"For some reason you are finding it hard to express yourself, which is not like you at all. Maybe it’s because you know that what you have to say is going to annoy someone in a position of power. If it’s the truth though you must speak up."
1004,cancer,general,Before you rush to the aid a friend in need today check out their body language. It could be they don’t want you to get involved and are sending out signals warning you to hold back for a while. You would be a fool to ignore them.
1005,leo,general,If you get the chance to do a good deed for a loved one today then go for it but don’t expect much by way of thanks. If that bothers you then maybe you are not approaching the situation the right way. Gratitude should not be necessary.
1006,virgo,general,By all means keep your feelings to yourself over the next 24 hours but don’t think you can hide them from other people forever. It may in fact pay to speak up about your emotional state now rather than risk those bad feelings getting even worse.
1007,libra,general,"A relationship has been going through a tough time of late but the sun’s change of signs on Wednesday will make it easier for you to identify the problems that exist between you. That is an important, indeed essential, first step to putting them right."
1008,scorpio,general,Don’t force it if you don’t feel like knuckling down to work today. You may be concerned that a task has dragged on too long but the fact that it is still there in front of you means you will get other chances to finish it very soon.
1009,sagittarius,general,"The sun’s move into the most dynamic area of your chart this week means you will get the opportunity to bring new life to a project that has been in the doldrums for quite some time. The cosmic tide is about to turn in your favour, so be ready."
1010,capricorn,general,You don’t have to be in a sociable mood to interact successfully with people you work and do business with. Let them know you are serious about making a success of what you are working on together and that you expect them to be serious about it too.
1011,aquarius,general,If you can’t be bothered to make a serious effort at the moment that’s okay. With the sun about to change signs you can sense that a new cycle is beginning and that pushing yourself hard now won’t accomplish much. Time is on your side.
1012,pisces,general,The more friends and family members want to argue over issues that you find trivial the more inclined you will be to slip out the back door and make yourself scarce. And why not? You are under no obligation to care about the same things as them.
1013,pisces,birthday,There will be times over the coming year when you have to read the riot act to colleagues who seem to believe they can coast through their job while leaving the tough stuff to you. Take the lead by all means but make sure everyone else follows.
1014,aries,general,"The sun moves into your sign tomorrow so now is the time to start planning something special. And don’t just make plans for the next few days, makes plans, big plans, for the next few weeks as well. Think ahead and then act with passion and power."
1015,taurus,general,"The planets are trying to tell you that you will accomplish more in the long-term if you make a point of cooperating with the people you work with rather than trying to compete with them. You’re actually on the same side, so why the rivalry?"
1016,gemini,general,Leave no one in any doubt what it is you expect of them and what they can expect from you in return. A more upbeat phase is about to begin and it will go even better if you make it clear from the start what your objectives are.
1017,cancer,general,You need to get past the idea that ambition is a dirty word and start making the moves that can catapult you quickly up the ladder of success. Career issues will be testing over the next few weeks and you must be up for the challenge.
1018,leo,general,The sun’s change of signs tomorrow will in some way change the way you look at the world and that’s a very good thing. Sometimes you can be a bit too set in your ways and what happens next will remind you there are always other options available.
1019,virgo,general,If you are the sort of Virgo who enjoys being challenged then what occurs over the next few days will bring out the best in you. That will certainly be the case physically but on a mental level too you will up your game and impress your superiors.
1020,libra,general,As the sun is about to move into the partnership area of your chart you need to accept that people you deal with on a one-to-one level won’t always be reasonable. But just because they choose to act like idiots does not mean you must do the same!
1021,scorpio,general,"Don’t start anything new today, because the sun’s imminent change of signs will load you up with so many extra things to do that you will be on the go from dawn to dusk as it is. Be kind to yourself, because no one else will be!"
1022,sagittarius,general,"There are so many things in your life you have to be thankful for and the Sun’s move into the most dynamic area of your chart tomorrow will encourage you to be more upbeat about your prospects. Creative activities are well starred, so make something special."
1023,capricorn,general,"You will have a lot to do on the home front over the next few days and the more you map out some kind of schedule the less likely it is you will be overwhelmed. Imagine how you would like things to finish, then plan backward from there."
1024,aquarius,general,If someone tries to point out what you have been doing wrong today you will send them away with a flea in their ear. But later on you may look back and realize they were probably right. Don’t reject advice just because you did not think of it first.
1025,pisces,general,Money matters are going to take centre stage over the next few weeks and if you have been spending cash too freely of late your first task will be to top up your funds. Start thinking of ways you might be able to boost your income – then act.
1026,pisces,birthday,You must not deny yourself what it is you most desire. The universe wants you to enjoy yourself – it is one of the reasons you are here – and will help in any way it can to make your dreams come true. Make a wish and watch it come true.
1027,aries,general,"The sun moves into your sign today and a new solar year gets under way, so forget about what happened yesterday or last week or last month and focus on what you want to happen next. New adventures are about to come at you from every direction."
1028,taurus,general,For some strange reason you have got it into your head that friends and family members are not taking you seriously. In fact the opposite is more likely to be true and what occurs between now and the end of the week will show how much you are admired.
1029,gemini,general,Keep telling yourself that there is an answer to every problem and keep looking for those answers even though you have no idea what they might be. A week or so from now you will look back and laugh when you realize how simple it was.
1030,cancer,general,You are going to have to make some major decisions about your career now that the sun is moving into the area of your chart that governs what you do in the world. There is no point worrying about the future but you can certainly start planning it.
1031,leo,general,If you make an effort to escape from a situation you feel is holding you back you should be able to regain your freedom by the end of the week. Don’t forget though that some things that appear to be holding you back are also holding you up!
1032,virgo,general,"There are so many options available to you now that you could have trouble choosing between them, but as the sun begins its journey through the wealth area of your chart at least you won’t have to worry about a lack of money holding you back."
1033,libra,general,Now that the sun has begun its journey through your opposite sign you must take things easier both at home and at work. When there are important tasks to be done get other people to help you rather than attempt to do them all on your own.
1034,scorpio,general,The most important thing now is that you focus on practical matters rather than lose yourself in wishful thinking. If you knuckle down and get a task of some kind finished over the next few days your reputation will soar before the end of the month.
1035,sagittarius,general,As the sun moves into the most creative area of your chart today you can and you must raise your sights and truly believe that you are on the cusp of achieving something great. The universe wants you to do something special with your life.
1036,capricorn,general,"Don’t worry too much if friends and colleagues seem a little hesitant today because the Sun’s change of signs makes them believe that something big and bad is going to happen. It will certainly be big but it will be good as well, especially for you!"
1037,pisces,general,"Find a quiet place where you can be on your own for an hour or two and review your long-term priorities. You have achieved a great deal in recent weeks but there is still more you can do, so draw up a plan and follow it to the letter."
1038,pisces,birthday,"The sacrifices you make over the next few months will pay off many times over in years to come, not only for your own benefit but for other people’s benefit too. What you put into life will, in time, increase what you get out by a factor of 10."
1039,aries,general,"Sit back and let life come to you. You may be eager to get busy on a new project but the influence of Venus will encourage you to start off slow and only work up speed when you really have to, which may not be for some time yet."
1040,taurus,general,"If you make an effort to understand someone else’s point of view today you will find that you have more in common than what sets you apart. Someone you tend to think of as a rival can in fact become a valuable partner, and maybe even a friend."
1041,gemini,general,"Venus and Saturn in the career area of your chart means you will be favoured by people in positions of power, but only if you are willing to make the initial effort yourself. Once they see you are worthy of assistance you will get it no questions asked."
1042,cancer,general,"The sun in the career area of your chart will incline you to get busy making a name for yourself but other aspects urge you not to push ahead too quickly. You have all the time in the world, so why exhaust yourself when you don’t have to?"
1043,leo,general,"Although you may be no better off financially today than you were yesterday your attitude toward money has improved and you won’t be so worried about where your next dollar is coming from. But that is not – repeat, not – an excuse to go on a spree!"
1044,virgo,general,"It will pay you to take a more relaxed view of what loved ones are up to. There is nothing you can do to make them change direction, so don’t waste your precious time trying. Let them get on with it and let them learn from their own mistakes."
1045,libra,general,"Venus, your ruler, joins forces with Saturn in the work area of your chart today, so even if you have a pile of stuff to get through you will tackle it with ease, enjoy every moment of it and remind important people just how special you are."
1046,scorpio,general,"It appears you can do no wrong in a loved one’s eyes at the moment but that is not an excuse to go mad! Instead, treat them as if they are the most important person in the world to you – then they will love you all the more."
1047,sagittarius,general,"You won’t have to say much to let friends and family members know how you feel today – your body language will speak volumes! Hopefully, what it has to say will be pleasant but if you are angry about something they will soon get the message."
1048,capricorn,general,"You are going to be much in demand over the next few days, both socially and professionally, so give up any idea of staying out of the limelight – and start practicing your smile and posture in front of a mirror. Your public wants to see you!"
1049,aquarius,general,"There is no need to be suspicious if someone offers you something good without asking for anything in return. Yes, maybe later on they will remind you that you owe them a favour but on balance you will have got the best of the deal."
1050,pisces,general,"Venus in your sign joins forces with Saturn today, so even if you want to be happy and carefree you won’t be able to shake a serious problem that has been following you around. Which just means you need to get serious about resolving it."
1051,aries,birthday,"What you want most from life will come your way without much of an effort this year, which is your reward for all the hard work you put in previously. So ask yourself: What can you do now that will bring even bigger rewards in the future?"
1052,aries,general,"Mars, your ruler, moves into the most sensitive area of your chart today, so even if you are the sort of Aries who shrugs off criticism easily you may find that other people’s negative comments wind you up more than usual. Bark back but don’t bite!"
1053,taurus,general,"Stop dreaming about what you would like to do and actually start doing it. You have made so many plans, some going back years, but on how many occasions have you actually followed them through to completion? It’s time to get serious about your future."
1054,gemini,general,"You know you have what it takes to succeed and now that Mars is moving into the most ambitious area of your chart you will get every chance to prove it. Don’t wait to be invited to do something special, do it now and deal with the consequences later."
1055,cancer,general,If you are the sort of Cancer who enjoys being unpredictable then what you do next will please you immensely as you watch the looks of sheer amazement on the faces of family and friends. They may say you are mad but so what if you are?
1056,leo,general,"The best things in life may not always be free but what you are offered over the next 24 hours will come with no strings attached, so seize hold of it and make it work for you. There is a definite luck factor working in your favour now."
1057,virgo,general,Tensions in a one-to-one relationship have been building up for some time and could erupt dramatically over the next few days as Mars moves into the partnership area of your chart. That could though be a very good thing. It will certainly clear the air.
1058,libra,general,Something you were not expecting to happen will knock you off your stride today and it may take a while before you are fully able to come to terms with it. There is no point thinking too deeply about it though – some things just cannot be helped.
1059,scorpio,general,"No challenge will be too much for you now that energy planet Mars is moving into the most dynamic area of your chart. Even if you are the sort of Scorpio who likes to keep a low profile, being in the public eye is now part of the deal."
1060,sagittarius,general,If loved ones are smart they will recognize the signs that you are not in the best of moods and give you a wide berth for a while. If they are not smart they may have to suffer a bit of a tongue-lashing. You certainly won’t forgive and forget.
1061,capricorn,general,By all means make your views known on a wide range of issues today but allow friends and colleagues to have their say as well. They can certainly learn things from you but why shouldn’t they have something important to teach you as well?
1062,aquarius,general,"Be sure to look out for your own interests today and over the weekend. Mars in the money area of your chart means you cannot just assume that friends and colleagues will make decisions that benefit you, so keep a tight hold of the purse strings."
1063,pisces,general,"Mars moves into your sign today, more than making up for the sun leaving your sign two days ago. You may even discover you now have the energy to follow through on some of those projects you started but never quite got around to finishing."
1064,aries,birthday,According to your birthday chart your thinking on a particular issue has become much too fixed of late and what occurs over the coming months will encourage you to let go of ideas and opinions that are seriously outdated. Open your mind to new possibilities.
1065,aries,general,You may be of a mind to resolve a partnership dispute as quickly and agreeably as possible but the other person seems to want to keep it going. You may have no choice then but to cut the knot completely and move on without them.
1066,taurus,general,The upcoming lunar eclipse will inevitably have you saying and doing things that you look back on with horror later on but don’t fret over it too much. Even a self-controlled Taurus has been known to go off the rails a bit once in a while.
1067,gemini,general,"You may think you can tackle a task on your own but if you are smart you will recognize that you are more likely to succeed if you get help. You are not the only one aiming for this particular goal, so working together should be no big deal."
1068,cancer,general,"The approaching lunar eclipse cuts across the family and career areas of your chart, so you are going to have to make a big decision about what you are going to focus on most over the next six months or so. Make that decision, then stick with it."
1069,leo,general,"Keep what happens over the next few days in perspective, even if it appears to drive some people mad. The fact is you have faced a lot worse than this and will face similar situations in the future. No way is it the end of the world."
1070,virgo,general,"You seem to believe there are shadowy forces out there trying to destroy your reputation while stealing your money as well. Yes, of course, you are overreacting, so calm down and focus exclusively on the facts – and the fact is you are still doing okay."
1071,libra,general,Monday’s lunar eclipse in your sign will make you overly sensitive to criticism but now you know that you can take steps to avoid getting carried away. If you do lose your cool though don’t blame yourself for it – you’re not the only one feeling the pressure.
1072,scorpio,general,It’s never hard for you to believe you have enemies in all directions and what occurs over the next few days will have you looking over your shoulder every few minutes. At the end of it though you will have to admit it was in your own mind.
1073,sagittarius,general,Hopefully you are the sort of Sag who trusts your thoughts more than your feelings but even if you are it is odds-on you will get emotional about something today. If you end up throwing a tantrum it won’t be pretty but it will at least clear the air.
1074,capricorn,general,"Tread warily when dealing with people in positions of power. You may have done nothing wrong but the approaching lunar eclipse means they will be on the lookout for even the smallest transgression and, if they find it, they will make you pay."
1075,aquarius,general,"Not everyone shares your offbeat way of looking at life, so don’t be surprised if you get some strange looks from people who cannot understand how you can be so flippant about what’s going on in the world. Don’t let it stop you though!"
1076,pisces,general,This is no time to be half-hearted about what you are planning. The planets insist that if you are going to make a move it must be a big one and you must give it 100 per cent. Anything less and you won’t be satisfied with the results.
1077,aries,birthday,Everyone is deserving of love and respect and if you keep that fact in mind and treat people accordingly this year you will find that life takes on a happier hue. You cannot control how others act but you can control how you choose to react.
1078,aries,general,"Although today’s lunar eclipse in your opposite sign of Libra may dent your confidence a bit you won’t be down in the dumps for long. Any doubts you have today will have disappeared by the middle part of the week, and good riddance to them."
1079,taurus,general,It will take some persuading to get partners and colleagues to see things your way on the work front but it will be worth the effort. Everyone will have a lot of stuff to get through over the next few days and you need to help each other.
1080,gemini,general,If you fall out with a friend or colleague today you would be wise not to take it too seriously. The lunar eclipse is sure to raise the emotional temperature a bit but you can cool things down by striving to be self-controlled no matter what the provocation.
1081,cancer,general,"It may be a loved one’s fault that you are at loggerheads over a family matter but don’t make the situation worse by insisting that they admit their error and apologize. Instead, look for a solution where both of you can pull back without losing face."
1082,leo,general,"The more you try to charm your way past someone’s defences the more determined they will be to ignore your sweet talk. Your best course of action by far is to keep your distance, say nothing and let them come round in their own good time."
1083,virgo,general,"You must get firm guarantees from a potential business partner that you won’t be out of pocket if things don’t work out as expected. Better still, back off making a commitment and wait to see how the situation develops over the rest of the week."
1084,libra,general,"Today’s powerful lunar eclipse in your sign suggests you will find yourself at odds with partners and loved ones and colleagues, and even if you do somehow manage to agree there could still be a lot of bad feeling. All you can do is wait it out."
1085,scorpio,general,It will pay you to keep as low a profile as possible. That may not be easy but you do have a knack for gliding through life without making too many ripples and that is the quality you must call on now. Avoid loud and angry people.
1086,sagittarius,general,"The more you try to ram your opinions down other people’s throats the more they will resist, so quit trying and just accept that their way of looking at life is different from your own. Why should that be a problem? You don’t HAVE to be right."
1087,capricorn,general,Even if you are certain that you will be able to deliver on a promise of some kind today you would still be smart not to make it in the first place. Once you make one promise to one person everyone will expect you to promise them something.
1088,aquarius,general,You seem determined to speak your mind at the moment and that’s fine but don’t say things that are so outrageous that you risk turning people against you. You may not care about being popular by why make enemies when you don’t have to?
1089,pisces,general,A dispute that has simmered for weeks will come to a head today. It may not be a pretty sight but at least you can finally move on from it. Whether you are still moving in the same direction with the same group of people remains to be seen.
1090,aries,birthday,"A lunar eclipse on your birthday means there will be many confrontational situations over the coming 12 months, but you may actually enjoy that. You are at your best when others are telling you there is no way you can win. You love proving them wrong."
1091,aries,general,"The sun and Mercury in your sign will boost your imaginative powers and encourage you to look for unusual solutions to long-standing problems. Steer clear of people who are frivolous and only care about having fun. These are serious times, at least for you."
1092,taurus,general,It may not be easy to look on the bright side when so many things are going wrong in the world but it needs to be done if you want to be part of the solution rather than part of the problem. An optimistic outlook is an absolute must.
1093,gemini,general,"You need to put aside any bad feelings that were sparked by yesterday’s lunar eclipse and make an effort to work with people whose interests coincide with your own. Any differences you may have are largely superficial, so feel free to ignore them."
1094,cancer,general,If you get your act together on the work front today you will make considerable inroads on the backlog of jobs you have allowed to build up. Don’t trust other people to help you though – this is one of those occasions when your own efforts must be enough.
1095,leo,general,You may not be feeling your best at the moment as a result of yesterday’s eclipse but you can still make considerable progress when dealing with people on a one-to-one basis. A sympathetic ear on your part will work wonders over the next 24 hours.
1096,virgo,general,You have been living beyond your means and what has occurred over the past few days has woken you up to that fact. Now you must do something about it. Start by reducing your commitments both at home and at work. Cut them back to the bone.
