sign,category,date,text
capricorn,general,may-15-2024,"Cast off that shy and retiring role you’ve been playing and show the world what a mover and shaker you can be. There won’t be many times in your life when so much cosmic activity comes together in your favour, so make the most of it."
aquarius,general,may-15-2024,Don’t worry if your confidence takes a bit of a dive today because with so much activity in one of the more sensitive areas of your chart it’s natural that you should feel a bit under the weather. You won’t be down for long. You never are.
pisces,general,may-15-2024,"There may be a thousand and one things you would like to say to friends, loved ones and work colleagues today but you don’t have to utter a single syllable. Your mannerisms and body language will speak louder than mere words ever could."
taurus,birthday,may-15-2024,"With Mercury joining the sun and Jupiter in your sign on your birthday you have clearly been earmarked by the universe for something big. Don’t waste your time making plans, just let your mind float freely and be ready to act when that something comes by."
aries,general,may-17-2024,The urge to explain yourself will be overwhelming today but don’t go too far and start telling people things they don’t need to know. Unless you are being pressured to talk about what you’ve been up to it might be wiser to just keep quiet.
taurus,general,may-17-2024,"Life is good and getting better by the minute, the hour, the day, so quit worrying about the past and focus on making the future extra special. With a song in your heart and a smile on your face there is literally nothing you cannot accomplish."
gemini,general,may-17-2024,"Your ruler Mercury squares up to power planet Pluto today, so you will need to watch what you say in all situations but especially when dealing with people in positions of authority. They could take what you meant as a joke very seriously indeed."
cancer,general,may-17-2024,Your insights into what is going on in the world may be clearer than most other people’s but how can you use that fact to change the lives of those people for the better? You can start by committing yourself to spreading the word. Don’t stay silent.
leo,general,may-17-2024,"Keep your eyes and ears open today because what a friend or work colleague says or does could point you in a new direction, one you were previously unaware of. There is always something new to understand, about yourself and about other people."
virgo,general,may-17-2024,"Mercury, your ruling planet, is well placed in your chart today but it is also at loggerheads with power planet Pluto. What that means is you must think very carefully before you speak over the next 24 hours. Remember, words can hurt as well as heal."
libra,general,may-17-2024,The message of the stars is that if you say nothing for the sake of a peaceful existence there could be a huge amount of chaos in your life later on. If you believe that what those around you are doing is wrong you MUST speak up about it.
scorpio,general,may-17-2024,Try not to get upset if someone is critical of your efforts today. They may or may not have a point but either way there is no reason why you need to get worked up about it. Act as if their opinions don’t bother you in the slightest.
sagittarius,general,may-17-2024,"You may be inspired to try harder and fly higher but the planets indicate this is one of those days when you will accomplish more if you aim to do less. Sit back, relax and let friends and family members do things for you – because they will."
capricorn,general,may-17-2024,Your powers of persuasion may be good but you will have a hard time winning a doubtful colleague round to your way of thinking. So why bother trying? If they want to believe in fanciful nonsense then leave them to it. How does that hurt you?
aquarius,general,may-17-2024,"Today’s Mercury-Pluto link suggests there may be a failure of communication on the home front, so be careful what you say and, if you realize you have gone too far, unsay it as quickly as you can. Words, as well as actions, have consequences."
pisces,general,may-17-2024,"Your head seems to be way up in the clouds at the moment, and that’s fine, but don’t lose touch with reality completely – because at some point today you are going to have to take care of a practical problem for a friend or loved one."
taurus,birthday,may-17-2024,People in positions of power will urge you to do more and do better this year and that is just the sort of challenge you need to bring out the best in yourself. Why settle for the silver or bronze medal when the gold is there for the taking?
aries,general,may-18-2024,Be vigilant this weekend when conducting negotiations. If others get the impression that your mind is not on the task at hand they may find ways to mix up the facts and profit from your confusion. At the very least you will end up paying more.
taurus,general,may-18-2024,As the sun nears the end of its journey through your sign you will double and even treble your efforts to bring current projects to a successful conclusion. Don’t burn yourself out though – there will be other opportunities to make your mark on the world.
gemini,general,may-18-2024,"You may be minded to make a big decision concerning either your career or your financial situation this weekend but don’t be hasty. Both the sun and Venus will be moving in your favour next week, so you can afford to wait a few days more."
cancer,general,may-18-2024,You may be anxious about a challenging situation that shows no signs of improving but the planets indicate you are worrying for no reason. In a matter of days you will be able to look back and realize that it wasn’t such a big deal after all.
leo,general,may-18-2024,There were times of late when you kept your thoughts to yourself rather than risk making a tough situation even harder to resolve. Now you must go to the other extreme and shout about what you think has been going wrong – and who is to blame.
virgo,general,may-18-2024,"If someone aggravates you this weekend your first reaction will be to hit back at them, but the planets indicate if you refrain from repaying like with like you will benefit in unexpected ways. For starters, your blood pressure won’t go through the roof!"
libra,general,may-18-2024,No matter how much you might want to believe that a friend or colleague is honest and trustworthy you must still do your homework and check that what they are telling you is on the level. When there is money at stake you can’t be too careful.
scorpio,general,may-18-2024,"Cosmic activity in the partnership area of your chart is encouraging you to give more than you take. Jupiter’s influence, especially, indicates that the more you do for other people over the next 48 hours the more they will do for you later on."
sagittarius,general,may-18-2024,Slow things right down this weekend and let life come to you for a change. You enjoy getting out into the world and making things happen but this is one of those rare occasions when the less you do the more you will gain in the long-term.
capricorn,general,may-18-2024,"Can you have it all? Of course you can, but don’t hang around because your rivals are also after what you desire and if you are slow off the mark they could beat you to it. Use your charm to maneuver yourself into a winning position."
aquarius,general,may-18-2024,The past few weeks have been challenging but they have been satisfying too. Having reached deep inside yourself and discovered new levels of courage and commitment you are now well placed to start moving up in the world. Start this very weekend.
pisces,general,may-18-2024,If you see some kind of injustice taking place this weekend you must do something about it. But you must also keep your emotions in check because if you allow your feelings to lead the way you could make the situation worse than it was before.
taurus,birthday,may-18-2024,"The sun, Venus and Jupiter are all well placed on your birthday, which will give you an edge over your rivals and make it easy for you to win important people over to your side. Better still, get everyone on your side. Charm your way to success."
aries,general,may-20-2024,If you are smart you will ignore any gossip you hear about a close friend. Most likely they have rivals and enemies who are trying to bad-mouth them and nothing they say is likely to be true. Be a real friend and stand by their side.
taurus,general,may-20-2024,You may not be entirely happy with what a friend or colleague expects of you today but you will do it anyway. Why? Because you know that you will need something from them in the not-too-distant future. You’ve got to give some to get some.
gemini,general,may-20-2024,"The sun in your sign will bring no end of opportunities your way. Both in your personal affairs and in a professional capacity no door will be closed to you, at least not for long. Don’t rush things though – you have plenty of time to make your mark."
cancer,general,may-20-2024,As the cosmic picture changes over the next few days there will be times when you feel anxious for no good reason. Your mood will improve by leaps and bounds if you make a conscious decision to look for the positive in every event.
leo,general,may-20-2024,"You know that someone you work or do business with is up to something but you can’t put your finger on what it might be. Don’t let it worry you. There is a real possibility that their efforts are for your benefit, because they admire you so much."
virgo,general,may-20-2024,Don’t sit back and wait for others to make decisions for you or make the first move. As the sun moves into the career area of your chart there will be no end of opportunities to boost your professional standing – IF you seize the initiative.
libra,general,may-20-2024,"The sun’s move into the most adventurous area of your chart today – to be followed by Venus, your ruler, and luck planet Jupiter later in the week – is a cosmic invitation to throw off any and all restraints. For you Libra, there are no limits."
scorpio,general,may-20-2024,"You may have had trouble getting your message across in recent weeks but has it cost you in any great way? Not really. You tend to do best when you say less, so keep your thoughts to yourself and let others worry about what you may be planning."
sagittarius,general,may-20-2024,"The next few days will see a surge of positive cosmic activity in the partnership area of your chart, so any disputes, serious or trivial, you may have had with loved ones and friends can and must be put behind you. Embrace the future together."
capricorn,general,may-20-2024,"Make a point of sticking with what you know and trust today, no matter how boring it may seem to other people. The more friends and family members chase the latest fads and fashions the more conservative you should be in your outlook."
aquarius,general,may-20-2024,"A massive shift of focus is about to occur, both on a personal level and at work. This change will be entirely for your benefit, so there is no reason to worry. Creatively and artistically, and maybe romantically too, a dynamic new phase is about to begin."
pisces,general,may-20-2024,You may be feeling a bit lost and lonely at the moment but it’s no big deal because the people who really matter will still be there for you if you need some company today. They have not forgotten that you were always there for them.
taurus,birthday,may-20-2024,"You will need to be a bit pushy over the coming 12 months, especially if you intend to use your creative talents to move up the career ladder and make some serious money. The universe will clear your path but it is you who must walk it."
aries,general,may-21-2024,"If you disagree with what loved ones or work colleagues expect of you then speak up and let them know it isn’t going to happen. You can be incredibly stubborn when the mood takes you and, without doubt, that mood will take you today."
taurus,general,may-21-2024,"You expect the best of yourself and you expect the best of other people. Unfortunately, a colleague you have been working with closely seems to be happy with second best. Be ruthless and replace them with someone whose outlook mirrors your own."
gemini,general,may-21-2024,"Whatever scruples you have about putting your own needs first, push them aside today and go after both pleasure and profit. This is your time of year and you have every right to make the most of it. Don’t take a back seat to anyone."
cancer,general,may-21-2024,You have listened to so many voices and heard so many opinions in recent weeks that your brain is probably more than a little scrambled. Shut out all the negative thinking today and focus on just one little thing you know will bring a smile to your face.
leo,general,may-21-2024,Don’t let other people make decisions for you today. They may be well meaning but the planets warn the moves they choose will be entirely wrong for you. Take back control and make sure it is your needs alone that are being catered for.
virgo,general,may-21-2024,"It may be frustrating that you are being held back from following a course of action you know would be exactly right for you but go with the flow and don’t make a scene. Your chance to shine will come soon enough, so be patient."
libra,general,may-21-2024,"The number of changes that occur over the next few days will be enough to make most people’s heads spin but you have been expecting them and won’t be fazed in the slightest. Changes are good for you now, so embrace them completely."
scorpio,general,may-21-2024,"According to some people you have been taking life too seriously of late. They are right but they are wrong as well. There is a lot at stake at the moment, personally and financially, and that’s excuse enough not to waste your time on frivolities."
sagittarius,general,may-21-2024,Over the next few days you are going to have to decide which activities are worth giving your attention to and which activities are a waste of time and energy. Be ruthless if you have to. You are under no obligation to exert yourself for other people’s benefit.
capricorn,general,may-21-2024,"You don’t have to get permission to follow a new path through life. The fact that almost no one agrees with your choice of direction makes no difference – if it feels right to you then go for it, because no one will do it for you."
aquarius,general,may-21-2024,"Whatever challenges come your way today and over the remainder of the week you can be 100 per cent certain they are challenges the universe has sent to bring out the artistic and creative side of your nature. Don’t just look to the stars, become one!"
pisces,general,may-21-2024,You will quickly get to the heart of a situation that seems to be confusing everyone else. That’s because you insist on knowing and facing the truth no matter how unwanted it may be. Make it your business to help others face up to that truth as well.
taurus,birthday,may-21-2024,If you are determined to succeed then nothing and no one that can stop you from reaching your goals. Don’t be too intense about it though – most people are on your side because they know that what is good for you is good for them as well.
aries,general,may-22-2024,What you have been held back from the most is what you will make most progress in over the next 24 hours. Today’s sun-Pluto link will sweep away obstructions and leave you a clear path to your goal. After that it’s up to you.
taurus,general,may-22-2024,It might be smart to think again about a plan that leaves a lot to chance. You may be feeling lucky but the planets warn you won’t get everything your own way between now and the end of the week. Why take risks when you don’t have to?
gemini,general,may-22-2024,"The sun in your sign links to power planet Pluto today, which will do wonders for your energy levels and your self-belief. On the other hand, as Pluto is going through its retrograde phase, try not to be too reckless for your own good."
cancer,general,may-22-2024,"You don’t care that the world is in turmoil, you care only that your affairs are moving ahead nicely on every possible level. That might sound selfish to some but if everyone were to look at life this way the world might be a better place."
leo,general,may-22-2024,"Everything seems to come easy to you now and that’s great, but don’t take your good fortune for granted or it could come as a shock if you encounter a setback today. Also, ignore other people’s negative outlook on life. No, the end is NOT nigh!"
virgo,general,may-22-2024,By all means strive to impress the people you work with today but don’t go so far that you take on too much and make a mistake that could have been avoided. You don’t have to strive to be special – those in authority are well aware of your worth.
libra,general,may-22-2024,"Now that the sun is moving through the most adventurous area of your chart you can and you must put yourself about a bit, both in your personal affairs and in your work. Don’t let other people limit your options – feel free to come and go as you please."
scorpio,general,may-22-2024,"Financial matters are under interesting stars at the moment and it is certainly possible that you could stumble on a money-making idea that solves a lot of your problems. On the other hand, it could create problems too if you take too much for granted."
sagittarius,general,may-22-2024,By all means help a friend in need but be wary if their sob story sounds as if it has been rehearsed. If they ask you for a loan make sure they are going to use it to get out of a hole rather than dig it still deeper.
capricorn,general,may-22-2024,"Friends and colleagues may talk a good game but words will only take them, and you, so far. Make sure that whatever suggestions they come up with today can be turned into actions that lead to success. If not, it’s just meaningless talk."
aquarius,general,may-22-2024,You have wasted more than enough time on people who are unlikely to ever live up to your expectations. The bigger your dreams the more you need to make sure that those who are going to come along for the ride share your motivation.
pisces,general,may-22-2024,"You may be tempted to get tough with someone who is not making much of an effort but keep your irritation to yourself for the time being. They could be cooking up something in secret that, when you find out about it, you will heartily approve of."
gemini,birthday,may-22-2024,If you are fed up dancing to someone else’s tune then why not make up one of your own? Pluto’s influence on your birthday means you have the power to change things but it won’t just happen as if by magic. Seize the initiative and never let it go.
aries,general,may-23-2024,"The pace of life may have been a bit slow of late but that will change big time. Cosmic activity in the most open and outgoing area of your chart, plus today’s full moon, means you can take your foot off the brake and get moving at last."
taurus,general,may-23-2024,Recent events have lifted your spirits to such an extent that you no longer believe that your efforts have no meaning. Remind yourself every hour and every minute that you alone create your reality and that you alone have responsibility for your moods.
gemini,general,may-23-2024,"Are you feeling on top of the world? Well, you should be because the cosmic powers are on your side and if you don’t feel ten feet tall right now you will do before the end of the week. It’s time to get that smile back on your face."
cancer,general,may-23-2024,"Stop making out that life is so tough and start behaving as if you can do anything you please – because you can! Your attitude toward everyday events, be they “good” or be they “bad”, is what determines whether your journey is going to be easy or hard."
leo,general,may-23-2024,"Recent events have taught you some valuable lessons, not least of them being that just because other people occupy positions of power and influence does not mean they are smarter than you. On the contrary, you are clearly in a higher league."
virgo,general,may-23-2024,Today’s full moon will in some way or other put you to the test but that’s a good thing in that you need to be pushed to your limits so that you know what you are truly capable of. Refuse to be intimidated and refuse to be a failure.
libra,general,may-23-2024,"What you thought was so important yesterday will mean nothing at all to you today, so be ruthless and ditch it the first chance you get. There are dozens of things going on in the world that are far more worthy of your attention."
scorpio,general,may-23-2024,"Today’s full moon will make it easy for you to get rid of all the junk, both emotional and physical, that you have been dragging around for the past few months. Get back to basics today by adopting a more minimalist approach to life."
sagittarius,general,may-23-2024,Because there is a full moon in your sign you may be a bit touchy today. If you get annoyed with someone recognize that it is most likely you who is making things worse than they need to be. Count to 10 slowly and let your anger evaporate.
capricorn,general,may-23-2024,In recent weeks you have worked on a number of activities that have been rewarding both personally and financially. Now you must move to the next level and focus on the one activity that is most likely to make you a star. Get serious about it.
aquarius,general,may-23-2024,"Set your sights high and refuse to lower them a single inch, even if others say you are expecting too much of yourself. It may or may not be true that we have but one life to live but act as if it is and give it your all."
pisces,general,may-23-2024,Don’t push yourself too hard today because the full moon is likely to make most of your efforts redundant. Your schedule may be crammed with things that “Must Be Done” but you won’t lose out if you ignore them for the next 24 hours.
gemini,birthday,may-23-2024,"There is so much positive cosmic activity on your birthday this year that you are clearly destined to accomplish something great. Even the full moon won’t be able to stop you making difficult things look easy, so get out there and be amazing."
aries,general,may-24-2024,"If you act as if nothing can possibly go wrong today then nothing will. With Jupiter about to join the sun and Venus in the most fun-loving area of your chart your upbeat attitude will attract great vibes, great people and great opportunities too."
taurus,general,may-24-2024,"Why, when your prospects look so bright, does your face look so dark? Yes, it’s true, you can no longer adopt the kind of devil-may-care attitude that brought so many smiles and so much success, but there are still no end of reasons to be cheerful."
gemini,general,may-24-2024,"With the sun and Venus moving through your sign, and luck planet Jupiter joining them this weekend, this is the very best time of the year for you, so reject any negative thoughts that intrude on your mind and get out there and make amazing things happen."
cancer,general,may-24-2024,"It may seem as if employers and other important people are not interested in your needs but is that true or are you interpreting their words and body language the wrong way? You can be overly sensitive at times, so try to lighten up a bit today."
leo,general,may-24-2024,"Friendships are always good for you but with so much positive cosmic activity now taking place in the area of your chart that rules group activities your potential for long-term success is huge. Remember, what you do for others you also do for yourself."
virgo,general,may-24-2024,Cosmic activity in the career area of your chart means you will be given extra responsibility over the next few weeks. That’s good in that it will do wonders for your reputation but don’t end up doing for others what they should be doing for themselves.
libra,general,may-24-2024,"Venus, your ruler, is about to be joined by luck planet Jupiter in the most adventurous area of your chart, so be as daring as you like and don’t worry about the consequences. That doesn’t mean there won’t be consequences but they will generally be favourable."
scorpio,general,may-24-2024,It does not matter how much you try to pretend that a problem does not exist it won’t go away as if by magic. The message of the stars is that you need to face up to what’s been bugging you – then deal with it once and for all.
sagittarius,general,may-24-2024,You need to be upfront about what you expect of other people in situations where you have to work together as partners or as a team. If you don’t spell out the terms and conditions now it leaves a lot of leeway for disputes and bad feelings later on.
capricorn,general,may-24-2024,Your workload is going to increase dramatically over the next few days and you need to let employers and colleagues know that you are not going to be at their beck and call 24 hours a day. Insist on having a decent amount of time to yourself.
aquarius,general,may-24-2024,With so much cosmic activity taking place in the most dynamic area of your chart you can pretty much do as you please now. But don’t try to do everything. Focus on the two or three aims that really mean something to you and ignore the rest.
pisces,general,may-24-2024,You will have to do something you don’t much enjoy today but you know that however distasteful it may be you will be better off in the long-term if you settle it right now. Avoiding the situation will just make things worse further down the line.
gemini,birthday,may-24-2024,You will be a mover and a shaker over the coming year and some of the moves you make will shake things up to such an extent that even those who know you well will be amazed. What can you do to make life more enjoyable? Anything you like!
aries,general,may-25-2024,"Try not to be too intense in your activities this weekend. There is so much positive cosmic movement now that you should be aiming to be as laidback as possible. Everything you need and desire will come to you anyway, so why strive too hard?"
taurus,general,may-25-2024,If you have your suspicions that a colleague is up to no good you must act on them quickly. You may not want to cause a scene but better that than allowing them to carry on making an unholy mess of what should be a straightforward job.
gemini,general,may-25-2024,"Good ideas will come thick and fast over the next 48 hours, but don’t try to keep track of each one that pops into your head because you won’t succeed. Carry a pen and notebook with you and jot down each idea the moment that it occurs."
cancer,general,may-25-2024,Use your talent for cutting through confusion and getting to the heart of a situation to find out why a friend is making such a mess of things. Once you have isolated what they are doing wrong you can suggest ways to change. They will thank you for it.
leo,general,may-25-2024,"Now is the ideal time to start a project that you have been thinking about for at least the past six months. It doesn’t matter that you have not yet completed your planning, it matters only that you move to the next stage, the doing stage, immediately."
virgo,general,may-25-2024,Something will inspire you this weekend to look at your ambitions in a new light. Most likely you will realize that you have been aiming too low and need to raise your sights to a level where you can claim to be a leader rather than a follower.
libra,general,may-25-2024,"You won’t need to crack the whip to get things done this weekend – friends and loved ones want to please you to such an extent that they will deliver far more than is expected of them. Make the most of it, because you know it won’t last!"
scorpio,general,may-25-2024,This may not be make or break time exactly but it is certainly a time when you need to push yourself a little bit harder and deliver a little bit more. Make sure colleagues do their bit as well – don’t attempt to do it all on your own.
sagittarius,general,may-25-2024,"The task you face this weekend may look daunting but if you get together with people who share your desire to get ahead in the world you should be able to handle it. Many hands, and many brains, will make light work of the situation."
capricorn,general,may-25-2024,If someone you had a bust-up with recently offers you an apology this weekend be smart and accept it – maybe even offer an apology of your own. You actually make a pretty good team and it would be a shame to end it over something trivial.
aquarius,general,may-25-2024,Some of the insights you have over the next 48 hours will amaze those whose outlook on life is more limited than your own. They may be nothing much to you but to friends and colleagues they will look like genius. Make that work in your favour.
pisces,general,may-25-2024,"Keep your thoughts and feelings to yourself this weekend, because the less other people know about what is going on in your head and your heart the more room you will have to move in a new direction. Don’t give too much away about yourself."
gemini,birthday,may-25-2024,Don’t hang back in the shadows – get out into the world and make use of your many talents. A combination of charm and determination will make it easy for you to get others over to your side – and your side will be the winning side.
aries,general,may-27-2024,"Someone you encounter on your travels today could become both a very good friend and a useful contact in months to come, so keep your eyes and ears open and don’t expect them to conform to your image of what a winner should look like."
taurus,general,may-27-2024,Look and act sharp as the week begins and make sure your rivals get the impression that you are not the sort of person who can be taken advantage of. Image is important at the best of times but now it could be crucial to your long-term success.
gemini,general,may-27-2024,"Your head may be full of amazing ideas but there is no way you are going to be able to make use of them all, so pick the best three ideas and junk the rest. What you don’t do today is almost as important as what you do do."
cancer,general,may-27-2024,Don’t waste time and energy on activities that are unlikely to turn a profit for quite some time. Focus on what you do best and aim to see some kind of return on your efforts in a matter of days rather than weeks or months.
leo,general,may-27-2024,"There are precious few limitations or restrictions being imposed on you now, so feel free to come and go as you please and don’t think you have to tone down your ambitions just to please other people. Think only of pleasing yourself."
virgo,general,may-27-2024,Give yourself permission to dream an impossible dream and ignore those who say you don’t stand a chance of success. It’s that kind of thinking that has held you back in the past and you have no intention of letting it hold you back now.
libra,general,may-27-2024,"By all means free your imagination today but don’t get carried away to such an extent that you start believing in unicorns and other mythical beasts. Unless you are writing fiction, of course, in which case it might just be a best-seller!"
scorpio,general,may-27-2024,Partners and colleagues will be rather demanding today and like it or not you are going to have to cut back on your own plans so you have more time to assist them. Do so with good grace because they will do the same for you later on.
sagittarius,general,may-27-2024,You may not be the touchy-feely sort but it will pay you to be more open about your emotions today. If you let loved ones know what is bugging you they will go out of their way to ease your fears and put a smile back on your face.
capricorn,general,may-27-2024,You may think you have got a considerable amount of leeway on the work front but don’t push your luck too far today or your boss could get annoyed with you. You’re on the same side and should be pulling in the same direction.
aquarius,general,may-27-2024,Others may say you are being selfish for putting your own needs first but with so much cosmic activity working in your favor now you would be a fool not to. Don’t look back from later in the year and wish you had been more ambitious.
pisces,general,may-27-2024,The most important thing now is that you set yourself a schedule and stick to it religiously. Others will try to get you to change it as the week goes on but you must be stubborn and refuse to do more than you know will be good for you.
gemini,birthday,may-27-2024,Forget about taking the easy route through life and aim to be more daring and adventurous over the coming 12 months. The more some people say you are aiming too high the more you must strive to prove them wrong. Act as if there are no limits.
aries,general,may-28-2024,A financial issue may take a bit of untangling today but once you put your mind to it you will find out what went wrong and who is to blame. Don’t make a big issue of it though. Everyone makes mistakes and this one won’t be too costly.
taurus,general,may-28-2024,You will have plenty to say for yourself today but as communications planet Mercury is linked with Saturn you must make sure you stick to the facts. If you deviate from reality by even the smallest degree someone is sure to pounce on the fact.
gemini,general,may-28-2024,With both the sun and Jupiter moving through your sign at the moment you certainly don’t lack for confidence but take care today because if you start to believe you cannot lose whatever you do or say the universe could have a surprise for you.
cancer,general,may-28-2024,Why do you feel that time is running out when in fact the opposite is true? The sun’s presence in the most sensitive area of your chart makes you believe the clock is against you but that simply isn’t true. It may be ticking but what’s the rush?
leo,general,may-28-2024,"A difficult phase is coming to an end and in a matter of days you will be all smiles again. On the work front, especially, your confidence will return and you will soon be on top of your game. Look in the mirror and see a winner staring back!"
virgo,general,may-28-2024,Everyone seems to be singing your praises but don’t let it go to your head or you could make a serious miscalculation. Beware those who both flatter you shamelessly and suggest you should be taking the kind of risks you usually avoid. They’re after something.
libra,general,may-28-2024,"What seems like a setback today will turn out to be a stroke of good fortune come the end of the week, so don’t let it deflect you from the course you have chosen – it was the right course yesterday and it is still the right course today."
scorpio,general,may-28-2024,"You may be tempted to tell a friend or loved one what you know isn’t true because you don’t want to upset them but that is the wrong approach to take. The fact that it is a lie, though well intentioned, will rebound on you later in the week."
sagittarius,general,may-28-2024,"You have been working so hard of late that you deserve a break but you will have to arrange it yourself as no one will give it to you. There will be more tough assignments coming up, so be smart and take a breather while you can."
capricorn,general,may-28-2024,Keep plugging away at what you are working on and keep believing that sooner or later there will be a breakthrough worthy of the name. You may not be as flashy in your ways as some of your rivals but you always reach the end and that’s what counts.
aquarius,general,may-28-2024,"Do some things happen for no apparent reason? Maybe, but it’s more likely they are part of a long string of cause and effect that, while invisible to the naked eye, can be seen with the mind’s eye. Look inward if you want to understand the outside world."
pisces,general,may-28-2024,Anyone who tries to tell you that you need to be cautious must be shown the way to the door. It’s true that you need to plan ahead but you also need to give yourself permission to rush off in a new direction any time the fancy takes you.
gemini,birthday,may-28-2024,"If you are serious about your ambitions, and you should be, you must spell out in words of three syllables or less what it is you are hoping to accomplish this year. Write down your aims on a piece of card and look at it each and every day."
aries,general,may-29-2024,"Let employers and senior colleagues know what you think of them today, even if your words are less than flattering. If you are really smart you will find ways to make your criticisms sound like praise. They’ll get the message without getting upset."
taurus,general,may-29-2024,You will go too far and say too much over the next 24 hours. In a way though that’s good because this is one of those times when total honesty is needed both at home and at work. Others will admire you for being true to your nature.
gemini,general,may-29-2024,"This may not be the best of days to make important decisions, especially if other people have the power to hold you back from pursuing your goals. Do you have to push ahead at top speed right this very moment? No you do not, so slow down."
cancer,general,may-29-2024,There are only so many hours in a day and not even a Cancer can add on extra minutes. Once you have accepted that fact you will find ways to cut back on existing commitments so you can make time for the new things coming into your life.
leo,general,may-29-2024,"If you need to point out to a colleague where they have been going wrong, make sure you do so in the gentlest of ways. Just because it may be easy to poke fun at them does not mean you should do so. They will appreciate your discretion."
virgo,general,may-29-2024,There may be many serious things going on in your life but they are not so serious that you have to approach each and every one of them as a matter of life and death. If you are finding it hard to smile then you are doing it wrong!
libra,general,may-29-2024,Someone who appears to be on your side is actually quite envious of your success and will do their utmost to undermine your authority if they get the chance. Keep your guard up today and be especially wary of people who flatter you for no good reason.
scorpio,general,may-29-2024,Something has put your mind in a spin and you can’t seem to decide which way is up and which way is down. If you make a wrong call today don’t compound the error by refusing to recognize it. Put it right the first chance you get.
sagittarius,general,may-29-2024,You must not try to appease someone who is giving you a hard time. Once you offer them an inch they will grab it and then try to turn it into a mile. Say “No” right from the start and make sure they know that you mean it.
capricorn,general,may-29-2024,"If you get the impression that a colleague does not know what they are talking about then you must call their bluff. Just because they sound like an expert does not make them an expert, so check every word that comes out of their mouth."
aquarius,general,may-29-2024,"Hopefully you are a glass half full rather than a glass half empty person, but if not there are ways to improve your outlook. One is by choosing to believe that every event is part of the cosmic master plan. Someone, somewhere has their hands on the controls."
pisces,general,may-29-2024,The people you are currently dealing with may be as different to you as chalk is to cheese but you are motivated and excited by the same ambitions and that’s all that matters. Focus on the goals you share and ignore their personality traits.
gemini,birthday,may-29-2024,Group activities of all kinds will go well over the coming 12 months and it is also possible that someone who starts out as a friend could become a very special person in your life. Can business and pleasure be combined? They can if you work at it.
aries,general,may-30-2024,"The planets indicate that an opportunity to make some serious money is heading your way, so keep your eyes and ears open and be ready to grab it when it appears. And don’t worry too much that others might lose out as a result of you getting rich."
taurus,general,may-30-2024,A surge of enthusiasm for a creative activity will grip you today and you won’t be happy until it is completed. The fact is it should have been finished a long time ago but it seems as if the universe is giving you another chance – don’t waste it.
gemini,general,may-30-2024,"No one would ever call you aloof but there are times when you like to be alone with your thoughts and this is one of them. Find a place where you can meditate on the meaning of your life, then come back to it with renewed enthusiasm."
cancer,general,may-30-2024,Make the most of cosmic activity in the friendship area of your chart to get together with people whose company you enjoy. You may not be in a party mood as such but you are in the mood to interact with those whose outlook on life intrigues you.
leo,general,may-30-2024,If you believe that you deserve more recognition on the work front now is the time to speak up and remind employers and senior colleagues that you are an asset they would be unwise to ignore – or you might end up joining the opposition!
virgo,general,may-30-2024,Follow your instincts and trust that they will lead you in the right direction. You have a talent for seeing both further and deeper than most other people and if you put that talent to good use today your insights will be profitable in the extreme.
libra,general,may-30-2024,Cosmic activity in the wealth area of your chart will improve your cashflow situation over the next few days but could also encourage you to spend any extra you make the moment you lay your hands on it. A little self-discipline will go a long way.
scorpio,general,may-30-2024,You may not see yourself as the proverbial knight in shining armor but you will certainly be riding to someone’s rescue over the next 24 hours. If there is one thing guaranteed to move you to action it is seeing other people being treated unfairly.
sagittarius,general,may-30-2024,"You won’t take No for an answer today, and why should you when you know that your sweet-talking ways can open any and every door? Be selective in your choices though – you don’t have to see what is hidden in all those locked rooms!"
capricorn,general,may-30-2024,"Cosmic activity in the most dynamic area of your chart is now pretty much at an end but that does not mean you can slow down or lower your sights. Use your imagination to create something special, something that showcases your many artistic skills."
aquarius,general,may-30-2024,"Family feuds that have arisen over the past few weeks can easily be resolved now. All you have to do is let everyone know that you hold no grudges, seek no amends and demand no apologies for what may have been said or done. And mean it."
pisces,general,may-30-2024,Your powers of persuasion are such that you can get just about anybody to do just about anything for you. That may sound like fun but there is one particular person who needs to be convinced that you should be working together. Focus on them alone.
gemini,birthday,may-30-2024,"A more relaxed attitude to material things over the coming year will do you a power of good and, curiously, increase your worldly goods as well. The universe rewards those who enjoy the finer things in life without taking them too seriously."
aries,general,may-31-2024,"If there is a project you are desperate to finish then get on with it straight away because the window for success is beginning to close. You may be lagging behind in your schedule but there is still time to get it done, IF you make that effort now!"
taurus,general,may-31-2024,"The fog of indecision that has blighted the past few days will lift over the next 24 hours as mind planet Mercury links with Uranus, planet of genius. You will know in a flash what needs to be done and you will do it without a moment’s hesitation."
gemini,general,may-31-2024,"You seem to be worrying for no good reason. With so much cosmic activity in your favor at the moment it’s beyond belief that you should be anxious about anything, but whatever it is that is causing you grief bring it into the open and deal with it."
cancer,general,may-31-2024,The best way to move up in the world is to ally yourself with people who share your ambitions and whose passion for success can motivate you to accomplish more than you would have done on your own. Seek those people out today.
leo,general,may-31-2024,"If you are not yet in a position where you are pulling the strings you very soon will be, so stop worrying about what your rivals may be up to and make your own plans for the next few weeks. Don’t play second fiddle to anyone."
